Year,Country,NumPub,TopJournal,FracTop
1990.0,NC,4,1.0,0.25
1990.0,NE,115,30.0,0.2608695652173913
1990.0,NG,1261,565.0,0.44805709754163364
1990.0,NI,7,3.0,0.42857142857142855
1990.0,NL,10158,7374.0,0.7259303012404017
1990.0,NO,2820,1814.0,0.6432624113475177
1990.0,NP,81,42.0,0.5185185185185185
1990.0,NZ,1962,1260.0,0.6422018348623854
1990.0,OM,41,25.0,0.6097560975609756
1990.0,PA,97,50.0,0.5154639175257731
1990.0,PE,268,85.0,0.31716417910447764
1990.0,PF,12,7.0,0.5833333333333334
1990.0,PG,109,54.0,0.4954128440366973
1990.0,PH,791,563.0,0.7117572692793932
1990.0,PK,548,262.0,0.4781021897810219
1990.0,PL,4361,2275.0,0.521669341894061
1990.0,PR,36,32.0,0.8888888888888888
1990.0,PS,16,7.0,0.4375
1990.0,PT,835,482.0,0.577245508982036
1990.0,PY,29,5.0,0.1724137931034483
1990.0,QA,124,91.0,0.7338709677419355
1990.0,RE,5,1.0,0.2
1990.0,RO,501,192.0,0.38323353293413176
1990.0,RS,499,274.0,0.5490981963927856
1990.0,RU,5747,2916.0,0.5073951626935792
1990.0,RW,8,8.0,1.0
1990.0,SA,992,578.0,0.5826612903225806
1990.0,SC,1,0.0,0.0
1990.0,SD,91,44.0,0.4835164835164835
1990.0,SE,8659,6240.0,0.7206374870077377
1990.0,SG,1263,627.0,0.49643705463182897
1990.0,SI,346,198.0,0.5722543352601156
1990.0,SK,1186,595.0,0.5016863406408094
1990.0,SL,5,4.0,0.8
1990.0,SN,59,26.0,0.4406779661016949
1990.0,SO,15,9.0,0.6
1990.0,SR,2,0.0,0.0
1990.0,SS,71,46.0,0.647887323943662
1990.0,ST,2,0.0,0.0
1990.0,SV,14,4.0,0.2857142857142857
1990.0,SY,31,21.0,0.6774193548387096
1990.0,SZ,5,2.0,0.4
1990.0,TD,1,0.0,0.0
1990.0,TG,6,3.0,0.5
1990.0,TH,628,289.0,0.4601910828025478
1990.0,TJ,25,11.0,0.44
1990.0,TM,7,6.0,0.8571428571428571
1990.0,TN,201,48.0,0.23880597014925373
1990.0,TR,1193,596.0,0.49958088851634536
1990.0,TT,42,21.0,0.5
1990.0,TV,1,0.0,0.0
1990.0,TW,3607,2014.0,0.5583587468810646
1990.0,TZ,137,63.0,0.45985401459854014
1990.0,UA,1000,338.0,0.338
1990.0,UG,117,78.0,0.6666666666666666
1990.0,US,224378,162030.0,0.7221296205510345
1990.0,UY,84,33.0,0.39285714285714285
1990.0,UZ,166,101.0,0.608433734939759
1990.0,VA,2,2.0,1.0
1990.0,VE,437,222.0,0.5080091533180778
1990.0,VG,55,37.0,0.6727272727272727
1990.0,VN,120,70.0,0.5833333333333334
1990.0,VU,2,2.0,1.0
1990.0,WS,2,1.0,0.5
1990.0,XK,3,3.0,1.0
1990.0,YE,17,10.0,0.5882352941176471
1990.0,ZA,3186,1782.0,0.559322033898305
1990.0,ZM,61,33.0,0.5409836065573771
1990.0,ZW,164,85.0,0.5182926829268293
1991.0,AE,154,105.0,0.6818181818181818
1991.0,AF,1,0.0,0.0
1991.0,AL,44,13.0,0.29545454545454547
1991.0,AM,245,123.0,0.5020408163265306
1991.0,AO,12,7.0,0.5833333333333334
1991.0,AR,1549,864.0,0.5577792123950936
1991.0,AT,3124,1705.0,0.545774647887324
1991.0,AU,12834,8770.0,0.6833411251363566
1991.0,AZ,82,37.0,0.45121951219512196
1991.0,BA,37,13.0,0.35135135135135137
1991.0,BB,33,12.0,0.36363636363636365
1991.0,BD,276,152.0,0.5507246376811594
1991.0,BE,5412,3349.0,0.618810051736881
1991.0,BF,27,15.0,0.5555555555555556
1991.0,BG,1216,674.0,0.5542763157894737
1991.0,BH,122,61.0,0.5
1991.0,BI,32,13.0,0.40625
1991.0,BJ,20,6.0,0.3
1991.0,BM,3,1.0,0.3333333333333333
1991.0,BN,25,11.0,0.44
1991.0,BO,19,10.0,0.5263157894736842
1991.0,BR,4027,1796.0,0.44598957039980136
1991.0,BS,4,0.0,0.0
1991.0,BW,40,21.0,0.525
1991.0,BY,553,225.0,0.40687160940325495
1991.0,BZ,19,15.0,0.7894736842105263
1991.0,CA,26546,17687.0,0.6662774052587961
1991.0,CD,14,7.0,0.5
1991.0,CF,5,0.0,0.0
1991.0,CG,24,6.0,0.25
1991.0,CH,7797,5148.0,0.6602539438245479
1991.0,CI,29,16.0,0.5517241379310345
1991.0,CL,1161,447.0,0.3850129198966408
1991.0,CM,113,65.0,0.5752212389380531
1991.0,CN,9954,4430.0,0.44504721719911594
1991.0,CO,457,111.0,0.24288840262582057
1991.0,CR,139,47.0,0.3381294964028777
1991.0,CU,169,52.0,0.3076923076923077
1991.0,CW,44,21.0,0.4772727272727273
1991.0,CY,29,17.0,0.5862068965517241
1991.0,CZ,2782,1210.0,0.4349388928828181
1991.0,DE,36564,21387.0,0.5849195930423368
1991.0,DJ,1,1.0,1.0
1991.0,DK,4280,2789.0,0.6516355140186916
1991.0,DO,36,8.0,0.2222222222222222
1991.0,DZ,88,53.0,0.6022727272727273
1991.0,EC,56,28.0,0.5
1991.0,EE,180,110.0,0.6111111111111112
1991.0,EG,1798,767.0,0.42658509454949944
1991.0,ER,1,1.0,1.0
1991.0,ES,9835,5242.0,0.5329944077275038
1991.0,ET,194,70.0,0.36082474226804123
1991.0,FI,4358,3098.0,0.710876548875631
1991.0,FJ,30,19.0,0.6333333333333333
1991.0,FO,2,2.0,1.0
1991.0,FR,25015,13851.0,0.5537077753347991
1991.0,GA,43,20.0,0.46511627906976744
1991.0,GB,48382,33160.0,0.6853788599065769
1991.0,GD,1,1.0,1.0
1991.0,GE,339,218.0,0.6430678466076696
1991.0,GF,6,4.0,0.6666666666666666
1991.0,GH,105,52.0,0.49523809523809526
1991.0,GI,5,3.0,0.6
1991.0,GL,1,1.0,1.0
1991.0,GM,32,21.0,0.65625
1991.0,GN,2,0.0,0.0
1991.0,GP,11,3.0,0.2727272727272727
1991.0,GR,2093,1269.0,0.6063067367415194
1991.0,GT,45,20.0,0.4444444444444444
1991.0,GW,70,60.0,0.8571428571428571
1991.0,GY,5,3.0,0.6
1991.0,HK,150,90.0,0.6
1991.0,HN,33,14.0,0.42424242424242425
1991.0,HR,847,396.0,0.4675324675324675
1991.0,HT,5,4.0,0.8
1991.0,HU,2506,1250.0,0.49880287310454907
1991.0,ID,206,71.0,0.3446601941747573
1991.0,IE,1572,1017.0,0.6469465648854962
1991.0,IL,6093,4227.0,0.6937469226981783
1991.0,IM,1,0.0,0.0
1991.0,IN,13092,6231.0,0.47593950504124655
1991.0,IQ,101,59.0,0.5841584158415841
1991.0,IR,279,124.0,0.4444444444444444
1991.0,IS,124,84.0,0.6774193548387096
1991.0,IT,19889,10493.0,0.5275780582231384
1991.0,JE,3,3.0,1.0
1991.0,JM,107,62.0,0.5794392523364486
1991.0,JO,224,106.0,0.4732142857142857
1991.0,JP,55180,28299.0,0.5128488582819862
1991.0,KE,345,168.0,0.48695652173913045
1991.0,KG,1,0.0,0.0
1991.0,KH,64,40.0,0.625
1991.0,KP,4,1.0,0.25
1991.0,KR,2414,1265.0,0.524026512013256
1991.0,KW,267,150.0,0.5617977528089888
1991.0,KY,1,0.0,0.0
1991.0,KZ,26,8.0,0.3076923076923077
1991.0,LA,4,3.0,0.75
1991.0,LB,73,40.0,0.547945205479452
1991.0,LC,1,0.0,0.0
1991.0,LI,1,0.0,0.0
1991.0,LK,184,87.0,0.47282608695652173
1991.0,LR,9,5.0,0.5555555555555556
1991.0,LS,9,4.0,0.4444444444444444
1991.0,LT,132,84.0,0.6363636363636364
1991.0,LU,57,15.0,0.2631578947368421
1991.0,LV,230,83.0,0.36086956521739133
1991.0,LY,52,20.0,0.38461538461538464
1991.0,MA,318,100.0,0.31446540880503143
1991.0,MC,8,4.0,0.5
1991.0,MD,496,65.0,0.1310483870967742
1991.0,ME,1,1.0,1.0
1991.0,MG,22,12.0,0.5454545454545454
1991.0,MK,25,6.0,0.24
1991.0,ML,25,19.0,0.76
1991.0,MM,21,9.0,0.42857142857142855
1991.0,MN,17,7.0,0.4117647058823529
1991.0,MQ,5,1.0,0.2
1991.0,MT,19,8.0,0.42105263157894735
1991.0,MU,7,5.0,0.7142857142857143
1991.0,MV,2,1.0,0.5
1991.0,MW,41,25.0,0.6097560975609756
1991.0,MX,2311,871.0,0.3768931198615318
1991.0,MY,562,282.0,0.501779359430605
1991.0,MZ,67,20.0,0.29850746268656714
1991.0,NC,5,3.0,0.6
1991.0,NE,122,12.0,0.09836065573770492
1991.0,NG,1150,521.0,0.45304347826086955
1991.0,NI,8,3.0,0.375
1991.0,NL,10966,7612.0,0.6941455407623564
1991.0,NO,3079,2096.0,0.6807405001623904
1991.0,NP,76,44.0,0.5789473684210527
1991.0,NZ,2003,1208.0,0.6030953569645532
1991.0,OM,54,28.0,0.5185185185185185
1991.0,PA,84,38.0,0.4523809523809524
1991.0,PE,267,52.0,0.1947565543071161
1991.0,PF,18,9.0,0.5
1991.0,PG,94,37.0,0.39361702127659576
1991.0,PH,823,544.0,0.660996354799514
1991.0,PK,616,285.0,0.46266233766233766
1991.0,PL,4611,2114.0,0.4584688787681631
1991.0,PR,38,26.0,0.6842105263157895
1991.0,PS,25,11.0,0.44
1991.0,PT,996,535.0,0.5371485943775101
1991.0,PY,63,7.0,0.1111111111111111
1991.0,QA,146,99.0,0.678082191780822
1991.0,RE,14,1.0,0.07142857142857142
1991.0,RO,589,228.0,0.3870967741935484
1991.0,RS,594,294.0,0.494949494949495
1991.0,RU,6773,3371.0,0.49771150155027316
1991.0,RW,6,4.0,0.6666666666666666
1991.0,SA,1166,516.0,0.4425385934819897
1991.0,SC,12,12.0,1.0
1991.0,SD,95,49.0,0.5157894736842106
1991.0,SE,9418,6458.0,0.6857082183053727
1991.0,SG,1382,719.0,0.5202604920405209
1991.0,SI,464,243.0,0.5237068965517241
1991.0,SK,1256,663.0,0.5278662420382165
1991.0,SL,7,7.0,1.0
1991.0,SM,1,0.0,0.0
1991.0,SN,89,32.0,0.3595505617977528
1991.0,SO,13,9.0,0.6923076923076923
1991.0,SR,4,0.0,0.0
1991.0,SS,75,51.0,0.68
1991.0,ST,5,3.0,0.6
1991.0,SV,26,1.0,0.038461538461538464
1991.0,SY,58,43.0,0.7413793103448276
1991.0,SZ,7,4.0,0.5714285714285714
1991.0,TD,1,0.0,0.0
1991.0,TG,14,3.0,0.21428571428571427
1991.0,TH,707,327.0,0.4625176803394625
1991.0,TJ,29,9.0,0.3103448275862069
1991.0,TM,7,4.0,0.5714285714285714
1991.0,TN,257,64.0,0.2490272373540856
1991.0,TO,1,0.0,0.0
1991.0,TR,1430,661.0,0.46223776223776225
1991.0,TT,38,14.0,0.3684210526315789
1991.0,TV,1,0.0,0.0
1991.0,TW,4343,2400.0,0.5526134008749712
1991.0,TZ,138,66.0,0.4782608695652174
1991.0,UA,1088,375.0,0.3446691176470588
1991.0,UG,124,82.0,0.6612903225806451
1991.0,US,236655,167808.0,0.7090828421119351
1991.0,UY,83,34.0,0.40963855421686746
1991.0,UZ,241,157.0,0.6514522821576764
1991.0,VE,487,255.0,0.5236139630390144
1991.0,VG,77,37.0,0.4805194805194805
1991.0,VN,116,54.0,0.46551724137931033
1991.0,VU,2,2.0,1.0
1991.0,WS,2,1.0,0.5
1991.0,XK,5,4.0,0.8
1991.0,YE,18,10.0,0.5555555555555556
1991.0,ZA,3453,1755.0,0.5082536924413553
1991.0,ZM,53,27.0,0.5094339622641509
1991.0,ZW,169,77.0,0.4556213017751479
1992.0,AE,170,106.0,0.6235294117647059
1992.0,AF,3,2.0,0.6666666666666666
1992.0,AL,54,17.0,0.3148148148148148
1992.0,AM,198,113.0,0.5707070707070707
1992.0,AO,16,10.0,0.625
1992.0,AR,1585,958.0,0.604416403785489
1992.0,AT,3511,2033.0,0.5790373113073198
1992.0,AU,13884,9059.0,0.6524776721405935
1992.0,AZ,75,28.0,0.37333333333333335
1992.0,BA,38,17.0,0.4473684210526316
1992.0,BB,38,18.0,0.47368421052631576
1992.0,BD,297,155.0,0.5218855218855218
1992.0,BE,5897,3648.0,0.618619637103612
1992.0,BF,29,12.0,0.41379310344827586
1992.0,BG,1306,806.0,0.6171516079632465
1992.0,BH,114,53.0,0.4649122807017544
1992.0,BI,27,14.0,0.5185185185185185
1992.0,BJ,16,4.0,0.25
1992.0,BM,3,2.0,0.6666666666666666
1992.0,BN,29,10.0,0.3448275862068966
1992.0,BO,29,8.0,0.27586206896551724
1992.0,BR,4729,2038.0,0.4309579192218228
1992.0,BS,1,0.0,0.0
1992.0,BT,1,0.0,0.0
1992.0,BW,13,8.0,0.6153846153846154
1992.0,BY,437,199.0,0.45537757437070936
1992.0,BZ,14,9.0,0.6428571428571429
1992.0,CA,27952,19006.0,0.6799513451631368
1992.0,CD,25,7.0,0.28
1992.0,CF,7,3.0,0.42857142857142855
1992.0,CG,18,7.0,0.3888888888888889
1992.0,CH,8240,5481.0,0.6651699029126213
1992.0,CI,31,14.0,0.45161290322580644
1992.0,CL,1139,509.0,0.44688323090430204
1992.0,CM,109,65.0,0.5963302752293578
1992.0,CN,11566,4751.0,0.410772955213557
1992.0,CO,468,123.0,0.26282051282051283
1992.0,CR,149,62.0,0.4161073825503356
1992.0,CU,222,93.0,0.4189189189189189
1992.0,CV,1,1.0,1.0
1992.0,CW,44,21.0,0.4772727272727273
1992.0,CY,60,42.0,0.7
1992.0,CZ,2843,1277.0,0.4491734083714386
1992.0,DE,37619,22097.0,0.587389351125761
1992.0,DJ,1,0.0,0.0
1992.0,DK,4531,2973.0,0.6561465460163319
1992.0,DM,1,0.0,0.0
1992.0,DO,28,4.0,0.14285714285714285
1992.0,DZ,127,75.0,0.5905511811023622
1992.0,EC,60,35.0,0.5833333333333334
1992.0,EE,161,101.0,0.6273291925465838
1992.0,EG,1711,700.0,0.4091174751607247
1992.0,ES,11539,6329.0,0.5484877372389289
1992.0,ET,248,82.0,0.33064516129032256
1992.0,FI,4477,3165.0,0.7069466160375252
1992.0,FJ,18,8.0,0.4444444444444444
1992.0,FK,1,1.0,1.0
1992.0,FM,2,1.0,0.5
1992.0,FO,2,2.0,1.0
1992.0,FR,27579,17038.0,0.6177888973494325
1992.0,GA,26,16.0,0.6153846153846154
1992.0,GB,51792,35049.0,0.6767261353104727
1992.0,GD,2,2.0,1.0
1992.0,GE,418,259.0,0.6196172248803827
1992.0,GF,5,4.0,0.8
1992.0,GH,118,51.0,0.4322033898305085
1992.0,GI,3,2.0,0.6666666666666666
1992.0,GL,2,0.0,0.0
1992.0,GM,31,21.0,0.6774193548387096
1992.0,GN,5,2.0,0.4
1992.0,GP,17,6.0,0.35294117647058826
1992.0,GR,2168,1290.0,0.5950184501845018
1992.0,GT,37,17.0,0.4594594594594595
1992.0,GW,69,58.0,0.8405797101449275
1992.0,GY,2,1.0,0.5
1992.0,HK,150,120.0,0.8
1992.0,HN,26,4.0,0.15384615384615385
1992.0,HR,808,399.0,0.4938118811881188
1992.0,HT,1,0.0,0.0
1992.0,HU,2605,1326.0,0.509021113243762
1992.0,ID,197,47.0,0.23857868020304568
1992.0,IE,1752,1085.0,0.6192922374429224
1992.0,IL,6238,4267.0,0.6840333440205194
1992.0,IM,2,2.0,1.0
1992.0,IN,13415,6353.0,0.47357435706298917
1992.0,IQ,86,36.0,0.4186046511627907
1992.0,IR,308,132.0,0.42857142857142855
1992.0,IS,131,93.0,0.7099236641221374
