PublicationId,AuthorId,AffiliationId,Year,Date,JournalId,DocType,C10,Ctotal
2327631139,2537508914,0.0,1974.0,1974-01-01,145330833.0,j,1.0,4.0
1635244065,2537508914,32971472.0,1974.0,1974-01-01,0.0,0,0.0,3.0
3024526061,2537508914,0.0,1974.0,1974-01-01,93118124.0,j,2.0,73.0
2332219618,2537508914,0.0,1975.0,1975-01-01,145330833.0,j,0.0,10.0
2031285958,2537508914,0.0,1975.0,1975-05-01,68632876.0,j,0.0,1.0
2116588675,2537508914,32971472.0,1975.0,1975-09-01,8802318.0,j,2.0,10.0
2071321625,2537508914,0.0,1976.0,1976-05-01,68632876.0,j,13.0,51.0
2797258190,2537508914,0.0,1976.0,1976-01-01,44270123.0,j,0.0,0.0
2018998940,2537508914,32971472.0,1976.0,1976-12-01,119514724.0,j,1.0,5.0
2318735909,2537508914,0.0,1976.0,1976-01-01,145330833.0,j,1.0,1.0
2080450835,2537508914,32971472.0,1976.0,1976-09-01,80113298.0,j,64.0,1406.0
2588497460,2537508914,32971472.0,1978.0,1978-06-01,2735378275.0,j,0.0,1.0
2044654228,2537508914,0.0,1978.0,1978-01-21,161027966.0,j,13.0,108.0
2402198475,2537508914,0.0,1978.0,1978-11-01,2090548.0,j,0.0,0.0
2024818691,2537508914,32971472.0,1978.0,1978-12-01,42686363.0,j,0.0,1.0
2013687468,2537508914,32971472.0,1978.0,1978-07-01,44404461.0,j,3.0,22.0
1990886940,2537508914,32971472.0,1978.0,1978-07-01,80113298.0,j,5.0,8.0
2339952710,2537508914,0.0,1978.0,1978-12-01,130611943.0,j,0.0,0.0
2053878724,2537508914,32971472.0,1980.0,1980-10-01,148561398.0,j,2.0,3.0
136203353,2537508914,0.0,1980.0,1980-04-01,38866342.0,j,0.0,1.0
2074130999,2537508914,32971472.0,1980.0,1980-01-01,0.0,0,4.0,12.0
2044361090,2537508914,32971472.0,1981.0,1981-01-01,148561398.0,j,16.0,80.0
2118007443,2537508914,32971472.0,1981.0,1981-09-01,148561398.0,j,7.0,11.0
